Name ,A,d,tw,tw/2,bf,tf,kdes,kdet,k1,lbf,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw
W21X44,13,20.7,0.35,0.175,6.5,0.45,0.95,1  1/8 , 13/16,44,843,81.6,8.06,95.4,20.7,6.37,1.26,10.2,1.6,20.3,0.77,2110
W18X311,91.6,22.3,1.52,0.76,12,2.74,3.24,3  9/16,1  9/16,311,6970,624,8.72,754,795,132,2.95,207,3.53,19.6,176,76200
W18X283,83.3,21.9,1.4,0.7,11.9,2.5,3,3  3/8 ,1  1/2 ,283,6170,565,8.61,676,704,118,2.91,185,3.47,19.4,134,65900
W18X258,76,21.5,1.28,0.64,11.8,2.3,2.7,3  3/16,1  7/16,258,5510,514,8.53,611,628,107,2.88,166,3.42,19.2,103,57600
W18X234,68.6,21.1,1.16,0.58,11.7,2.11,2.51,3,1  3/8 ,234,4900,466,8.44,549,558,95.8,2.85,149,3.37,19,78.7,50100
W18X211,62.3,20.7,1.06,0.53,11.6,1.91,2.31,2 13/16,1  3/8 ,211,4330,419,8.35,490,493,85.3,2.82,132,3.32,18.8,58.6,43400
W18X192,56.2,20.4,0.96,0.48,11.5,1.75,2.15,2  5/8 ,1  5/16,192,3870,380,8.28,442,440,76.8,2.79,119,3.28,18.7,44.7,38000
W18X175,51.4,20,0.89,0.445,11.4,1.59,1.99,2  7/16,1  1/4 ,175,3450,344,8.2,398,391,68.8,2.76,106,3.24,18.4,33.8,33300
W18X158,46.3,19.7,0.81,0.405,11.3,1.44,1.84,2  3/8 ,1  1/4 ,158,3060,310,8.12,356,347,61.4,2.74,94.8,3.2,18.3,25.2,29000
W18X143,42,19.5,0.73,0.365,11.2,1.32,1.72,2  3/16,1  3/16,143,2750,282,8.09,322,311,55.5,2.72,85.4,3.17,18.2,19.2,25700
W18X130,38.3,19.3,0.67,0.335,11.2,1.2,1.6,2  1/16,1  3/16,130,2460,256,8.03,290,278,49.9,2.7,76.7,3.13,18.1,14.5,22700
W18X119,35.1,19,0.655,0.3275,11.3,1.06,1.46,1 15/16,1  3/16,119,2190,231,7.9,262,253,44.9,2.69,69.1,3.13,17.9,10.6,20300
W18X106,31.1,18.7,0.59,0.295,11.2,0.94,1.34,1 13/16,1  1/8 ,106,1910,204,7.84,230,220,39.4,2.66,60.5,3.1,17.8,7.48,17400
W18X97,28.5,18.6,0.535,0.2675,11.1,0.87,1.27,1  3/4 ,1  1/8 ,97,1750,188,7.82,211,201,36.1,2.65,55.3,3.08,17.7,5.86,15800
W18X86,25.3,18.4,0.48,0.24,11.1,0.77,1.17,1  5/8 ,1  1/16,86,1530,166,7.77,186,175,31.6,2.63,48.4,3.05,17.6,4.1,13600
W18X76,22.3,18.2,0.425,0.2125,11,0.68,1.08,1  9/16,1  1/16,76,1330,146,7.73,163,152,27.6,2.61,42.2,3.02,17.5,2.83,11700
W18X71,20.9,18.5,0.495,0.2475,7.64,0.81,1.21,1  1/2 ,  7/8 ,71,1170,127,7.5,146,60.3,15.8,1.7,24.7,2.05,17.7,3.49,4700
W18X65,19.1,18.4,0.45,0.225,7.59,0.75,1.15,1  7/16,  7/8 ,65,1070,117,7.49,133,54.8,14.4,1.69,22.5,2.03,17.7,2.73,4240
W18X60,17.6,18.2,0.415,0.2075,7.56,0.695,1.1,1  3/8 , 13/16,60,984,108,7.47,123,50.1,13.3,1.68,20.6,2.02,17.5,2.17,3850
W18X55,16.2,18.1,0.39,0.195,7.53,0.63,1.03,1  5/16, 13/16,55,890,98.3,7.41,112,44.9,11.9,1.67,18.5,2,17.5,1.66,3430
W18X50,14.7,18,0.355,0.1775,7.5,0.57,0.972,1  1/4 , 13/16,50,800,88.9,7.38,101,40.1,10.7,1.65,16.6,1.98,17.4,1.24,3040
W18X46,13.5,18.1,0.36,0.18,6.06,0.605,1.01,1  1/4 , 13/16,46,712,78.8,7.25,90.7,22.5,7.43,1.29,11.7,1.58,17.5,1.22,1720
W18X40,11.8,17.9,0.315,0.1575,6.02,0.525,0.927,1  3/16, 13/16,40,612,68.4,7.21,78.4,19.1,6.35,1.27,10,1.56,17.4,0.81,1440
W18X35,10.3,17.7,0.3,0.15,6,0.425,0.827,1  1/8 ,  3/4 ,35,510,57.6,7.04,66.5,15.3,5.12,1.22,8.06,1.51,17.3,0.506,1140
W16X100,29.4,17,0.585,0.2925,10.4,0.985,1.39,1  7/8 ,1  1/8 ,100,1490,175,7.1,198,186,35.7,2.51,54.9,2.92,16,7.73,11900
W16X89,26.2,16.8,0.525,0.2625,10.4,0.875,1.28,1  3/4 ,1  1/16,89,1300,155,7.05,175,163,31.4,2.49,48.1,2.88,15.9,5.45,10200
W16X77,22.6,16.5,0.455,0.2275,10.3,0.76,1.16,1  5/8 ,1  1/16,77,1110,134,7,150,138,26.9,2.47,41.1,2.85,15.7,3.57,8590
W16X67,19.6,16.3,0.395,0.1975,10.2,0.665,1.07,1  9/16,1,67,954,117,6.96,130,119,23.2,2.46,35.5,2.82,15.6,2.39,7300
W16X57,16.8,16.4,0.43,0.215,7.12,0.715,1.12,1  3/8 ,  7/8 ,57,758,92.2,6.72,105,43.1,12.1,1.6,18.9,1.92,15.7,2.22,2660
W16X50,14.7,16.3,0.38,0.19,7.07,0.63,1.03,1  5/16, 13/16,50,659,81,6.68,92,37.2,10.5,1.59,16.3,1.89,15.7,1.52,2270
W16X45,13.3,16.1,0.345,0.1725,7.04,0.565,0.967,1  1/4 , 13/16,45,586,72.7,6.65,82.3,32.8,9.34,1.57,14.5,1.87,15.5,1.11,1990
W16X40,11.8,16,0.305,0.1525,7,0.505,0.907,1  3/16, 13/16,40,518,64.7,6.63,73,28.9,8.25,1.57,12.7,1.86,15.5,0.794,1730
W16X36,10.6,15.9,0.295,0.1475,6.99,0.43,0.832,1  1/8 ,  3/4 ,36,448,56.5,6.51,64,24.5,7,1.52,10.8,1.83,15.5,0.545,1460
W16X31,9.13,15.9,0.275,0.1375,5.53,0.44,0.842,1  1/8 ,  3/4 ,31,375,47.2,6.41,54,12.4,4.49,1.17,7.03,1.42,15.5,0.461,739
W16X26,7.68,15.7,0.25,0.125,5.5,0.345,0.747,1  1/16,  3/4 ,26,301,38.4,6.26,44.2,9.59,3.49,1.12,5.48,1.38,15.4,0.262,565
W14X873,257,23.6,3.94,1.97,18.8,5.51,6.1,6  3/16,2  9/16,873,18100,1530,8.39,2030,6170,656,4.9,1020,6.04,18.1,2270,505000
W14X808,238,22.8,3.74,1.87,18.6,5.12,5.71,5  3/4 ,2  1/2 ,808,15900,1390,8.17,1830,5550,597,4.83,930,5.94,17.7,1840,434000
W14X730,215,22.4,3.07,1.535,17.9,4.91,5.51,6  3/16,2  3/4 ,730,14300,1280,8.17,1660,4720,527,4.69,816,5.68,17.5,1450,362000
W14X665,196,21.6,2.83,1.415,17.7,4.52,5.12,5 13/16,2  5/8 ,665,12400,1150,7.98,1480,4170,472,4.62,730,5.57,17.1,1120,305000
W14X605,178,20.9,2.6,1.3,17.4,4.16,4.76,5  7/16,2  1/2 ,605,10800,1040,7.8,1320,3680,423,4.55,652,5.44,16.7,869,258000
W14X550,162,20.2,2.38,1.19,17.2,3.82,4.42,5  1/8 ,2  3/8 ,550,9430,931,7.63,1180,3250,378,4.49,583,5.35,16.4,669,219000
W14X500,147,19.6,2.19,1.095,17,3.5,4.1,4 13/16,2  5/16,500,8210,838,7.48,1050,2880,339,4.43,522,5.26,16.1,514,187000
W14X455,134,19,2.02,1.01,16.8,3.21,3.81,4  1/2 ,2  1/4 ,455,7190,756,7.33,936,2560,304,4.38,468,5.17,15.8,395,160000
W14X426,125,18.7,1.88,0.94,16.7,3.04,3.63,4  5/16,2  1/8 ,426,6600,706,7.26,869,2360,283,4.34,434,5.11,15.7,331,144000
W14X398,117,18.3,1.77,0.885,16.6,2.85,3.44,4  1/8 ,2  1/8 ,398,6000,656,7.16,801,2170,262,4.31,402,5.05,15.5,273,129000
W14X370,109,17.9,1.66,0.83,16.5,2.66,3.26,3 15/16,2  1/16,370,5440,607,7.07,736,1990,241,4.27,370,5,15.2,222,116000
W14X342,101,17.5,1.54,0.77,16.4,2.47,3.07,3  3/4 ,2,342,4900,558,6.98,672,1810,221,4.24,338,4.95,15,178,103000
W14X311,91.4,17.1,1.41,0.705,16.2,2.26,2.86,3  9/16,1 15/16,311,4330,506,6.88,603,1610,199,4.2,304,4.87,14.8,136,89100
W14X283,83.3,16.7,1.29,0.645,16.1,2.07,2.67,3  3/8 ,1  7/8 ,283,3840,459,6.79,542,1440,179,4.17,274,4.8,14.6,104,77700
W14X257,75.6,16.4,1.18,0.59,16,1.89,2.49,3  3/16,1 13/16,257,3400,415,6.71,487,1290,161,4.13,246,4.75,14.5,79.1,67800
W14X233,68.5,16,1.07,0.535,15.9,1.72,2.32,3,1  3/4 ,233,3010,375,6.63,436,1150,145,4.1,221,4.69,14.3,59.5,59000
W14X211,62,15.7,0.98,0.49,15.8,1.56,2.16,2  7/8 ,1 11/16,211,2660,338,6.55,390,1030,130,4.07,198,4.64,14.1,44.6,51500
W14X193,56.8,15.5,0.89,0.445,15.7,1.44,2.04,2  3/4 ,1 11/16,193,2400,310,6.5,355,931,119,4.05,180,4.59,14.1,34.8,45900
W14X176,51.8,15.2,0.83,0.415,15.7,1.31,1.91,2  5/8 ,1  5/8 ,176,2140,281,6.43,320,838,107,4.02,163,4.55,13.9,26.5,40500
W14X159,46.7,15,0.745,0.3725,15.6,1.19,1.79,2  1/2 ,1  9/16,159,1900,254,6.38,287,748,96.2,4,146,4.51,13.8,19.7,35600
W14X145,42.7,14.8,0.68,0.34,15.5,1.09,1.69,2  3/8 ,1  9/16,145,1710,232,6.33,260,677,87.3,3.98,133,4.47,13.7,15.2,31700
W14X132,38.8,14.7,0.645,0.3225,14.7,1.03,1.63,2  5/16,1  9/16,132,1530,209,6.28,234,548,74.5,3.76,113,4.23,13.7,12.3,25500
W14X120,35.3,14.5,0.59,0.295,14.7,0.94,1.54,2  1/4 ,1  1/2 ,120,1380,190,6.24,212,495,67.5,3.74,102,4.2,13.6,9.37,22700
W14X109,32,14.3,0.525,0.2625,14.6,0.86,1.46,2  3/16,1  1/2 ,109,1240,173,6.22,192,447,61.2,3.73,92.7,4.17,13.4,7.12,20200
W14X99,29.1,14.2,0.485,0.2425,14.6,0.78,1.38,2  1/16,1  7/16,99,1110,157,6.17,173,402,55.2,3.71,83.6,4.14,13.4,5.37,18000
W14X90,26.5,14,0.44,0.22,14.5,0.71,1.31,2,1  7/16,90,999,143,6.14,157,362,49.9,3.7,75.6,4.1,13.3,4.06,16000
W14X82,24,14.3,0.51,0.255,10.1,0.855,1.45,1 11/16,1  1/16,82,881,123,6.05,139,148,29.3,2.48,44.8,2.85,13.4,5.07,6710
W14X74,21.8,14.2,0.45,0.225,10.1,0.785,1.38,1  5/8 ,1  1/16,74,795,112,6.04,126,134,26.6,2.48,40.5,2.83,13.4,3.87,5990
W14X68,20,14,0.415,0.2075,10,0.72,1.31,1  9/16,1  1/16,68,722,103,6.01,115,121,24.2,2.46,36.9,2.8,13.3,3.01,5380
W14X61,17.9,13.9,0.375,0.1875,10,0.645,1.24,1  1/2 ,1,61,640,92.1,5.98,102,107,21.5,2.45,32.8,2.78,13.3,2.19,4710
W14X53,15.6,13.9,0.37,0.185,8.06,0.66,1.25,1  1/2 ,1,53,541,77.8,5.89,87.1,57.7,14.3,1.92,22,2.22,13.2,1.94,2540
W14X48,14.1,13.8,0.34,0.17,8.03,0.595,1.19,1  7/16,1,48,484,70.2,5.85,78.4,51.4,12.8,1.91,19.6,2.2,13.2,1.45,2240
W14X43,12.6,13.7,0.305,0.1525,8,0.53,1.12,1  3/8 ,1,43,428,62.6,5.82,69.6,45.2,11.3,1.89,17.3,2.18,13.2,1.05,1950
W14X38,11.2,14.1,0.31,0.155,6.77,0.515,0.915,1  1/4 , 13/16,38,385,54.6,5.87,61.5,26.7,7.88,1.55,12.1,1.82,13.6,0.798,1230
W14X34,10,14,0.285,0.1425,6.75,0.455,0.855,1  3/16,  3/4 ,34,340,48.6,5.83,54.6,23.3,6.91,1.53,10.6,1.8,13.5,0.569,1070
W14X30,8.85,13.8,0.27,0.135,6.73,0.385,0.785,1  1/8 ,  3/4 ,30,291,42,5.73,47.3,19.6,5.82,1.49,8.99,1.77,13.4,0.38,887
W14X26,7.69,13.9,0.255,0.1275,5.03,0.42,0.82,1  1/8 ,  3/4 ,26,245,35.3,5.65,40.2,8.91,3.55,1.08,5.54,1.3,13.5,0.358,405
W14X22,6.49,13.7,0.23,0.115,5,0.335,0.735,1  1/16,  3/4 ,22,199,29,5.54,33.2,7,2.8,1.04,4.39,1.27,13.4,0.208,314
W12X336,98.9,16.8,1.78,0.89,13.4,2.96,3.55,3  7/8 ,1 11/16,336,4060,483,6.41,603,1190,177,3.47,274,4.13,13.8,243,57000
W12X305,89.5,16.3,1.63,0.815,13.2,2.71,3.3,3  5/8 ,1  5/8 ,305,3550,435,6.29,537,1050,159,3.42,244,4.05,13.6,185,48600
W12X279,81.9,15.9,1.53,0.765,13.1,2.47,3.07,3  3/8 ,1  5/8 ,279,3110,393,6.16,481,937,143,3.38,220,4,13.4,143,42000
W12X252,74.1,15.4,1.4,0.7,13,2.25,2.85,3  1/8 ,1  1/2 ,252,2720,353,6.06,428,828,127,3.34,196,3.93,13.2,108,35800
W12X230,67.7,15.1,1.29,0.645,12.9,2.07,2.67,2 15/16,1  1/2 ,230,2420,321,5.97,386,742,115,3.31,177,3.87,13,83.8,31200
W12X210,61.8,14.7,1.18,0.59,12.8,1.9,2.5,2 13/16,1  7/16,210,2140,292,5.89,348,664,104,3.28,159,3.81,12.8,64.7,27200
W12X190,56,14.4,1.06,0.53,12.7,1.74,2.33,2  5/8 ,1  3/8 ,190,1890,263,5.82,311,589,93,3.25,143,3.77,12.7,48.8,23600
W12X170,50,14,0.96,0.48,12.6,1.56,2.16,2  7/16,1  5/16,170,1650,235,5.74,275,517,82.3,3.22,126,3.7,12.4,35.6,20100
W12X152,44.7,13.7,0.87,0.435,12.5,1.4,2,2  5/16,1  1/4 ,152,1430,209,5.66,243,454,72.8,3.19,111,3.66,12.3,25.8,17200
W12X136,39.9,13.4,0.79,0.395,12.4,1.25,1.85,2  1/8 ,1  1/4 ,136,1240,186,5.58,214,398,64.2,3.16,98,3.61,12.2,18.5,14700
W12X120,35.2,13.1,0.71,0.355,12.3,1.11,1.7,2,1  3/16,120,1070,163,5.51,186,345,56,3.13,85.4,3.56,12,12.9,12400
W12X106,31.2,12.9,0.61,0.305,12.2,0.99,1.59,1  7/8 ,1  1/8 ,106,933,145,5.47,164,301,49.3,3.11,75.1,3.52,11.9,9.13,10700
W12X96,28.2,12.7,0.55,0.275,12.2,0.9,1.5,1 13/16,1  1/8 ,96,833,131,5.44,147,270,44.4,3.09,67.5,3.49,11.8,6.85,9410
W12X87,25.6,12.5,0.515,0.2575,12.1,0.81,1.41,1 11/16,1  1/16,87,740,118,5.38,132,241,39.7,3.07,60.4,3.46,11.7,5.1,8270
W12X79,23.2,12.4,0.47,0.235,12.1,0.735,1.33,1  5/8 ,1  1/16,79,662,107,5.34,119,216,35.8,3.05,54.3,3.43,11.7,3.84,7330
W12X72,21.1,12.3,0.43,0.215,12,0.67,1.27,1  9/16,1  1/16,72,597,97.4,5.31,108,195,32.4,3.04,49.2,3.41,11.6,2.93,6540
W12X65,19.1,12.1,0.39,0.195,12,0.605,1.2,1  1/2 ,1,65,533,87.9,5.28,96.8,174,29.1,3.02,44.1,3.38,11.5,2.18,5780
W12X58,17,12.2,0.36,0.18,10,0.64,1.24,1  1/2 , 15/16,58,475,78,5.28,86.4,107,21.4,2.51,32.5,2.81,11.6,2.1,3570
W12X53,15.6,12.1,0.345,0.1725,10,0.575,1.18,1  3/8 , 15/16,53,425,70.6,5.23,77.9,95.8,19.2,2.48,29.1,2.79,11.5,1.58,3160
W12X50,14.6,12.2,0.37,0.185,8.08,0.64,1.14,1  1/2 , 15/16,50,391,64.2,5.18,71.9,56.3,13.9,1.96,21.3,2.25,11.6,1.71,1880
W12X45,13.1,12.1,0.335,0.1675,8.05,0.575,1.08,1  3/8 , 15/16,45,348,57.7,5.15,64.2,50,12.4,1.95,19,2.23,11.5,1.26,1650
W12X40,11.7,11.9,0.295,0.1475,8.01,0.515,1.02,1  3/8 ,  7/8 ,40,307,51.5,5.13,57,44.1,11,1.94,16.8,2.21,11.4,0.906,1440
W12X35,10.3,12.5,0.3,0.15,6.56,0.52,0.82,1  3/16,  3/4 ,35,285,45.6,5.25,51.2,24.5,7.47,1.54,11.5,1.79,12,0.741,879
W12X30,8.79,12.3,0.26,0.13,6.52,0.44,0.74,1  1/8 ,  3/4 ,30,238,38.6,5.21,43.1,20.3,6.24,1.52,9.56,1.77,11.9,0.457,720
W12X26,7.65,12.2,0.23,0.115,6.49,0.38,0.68,1  1/16,  3/4 ,26,204,33.4,5.17,37.2,17.3,5.34,1.51,8.17,1.75,11.8,0.3,607
W12X22,6.48,12.3,0.26,0.13,4.03,0.425,0.725, 15/16,  5/8 ,22,156,25.4,4.91,29.3,4.66,2.31,0.848,3.66,1.04,11.9,0.293,164
W12X19,5.57,12.2,0.235,0.1175,4.01,0.35,0.65,  7/8 ,  9/16,19,130,21.3,4.82,24.7,3.76,1.88,0.822,2.98,1.02,11.9,0.18,131
W12X16,4.71,12,0.22,0.11,3.99,0.265,0.565, 13/16,  9/16,16,103,17.1,4.67,20.1,2.82,1.41,0.773,2.26,0.983,11.7,0.103,96.9
W12X14,4.16,11.9,0.2,0.1,3.97,0.225,0.525,  3/4 ,  9/16,14,88.6,14.9,4.62,17.4,2.36,1.19,0.753,1.9,0.961,11.7,0.0704,80.4
W10X112,32.9,11.4,0.755,0.3775,10.4,1.25,1.75,1 15/16,1,112,716,126,4.66,147,236,45.3,2.68,69.2,3.08,10.2,15.1,6020
W10X100,29.3,11.1,0.68,0.34,10.3,1.12,1.62,1 13/16,1,100,623,112,4.6,130,207,40,2.65,61,3.04,10,10.9,5150
W10X88,26,10.8,0.605,0.3025,10.3,0.99,1.49,1 11/16, 15/16,88,534,98.5,4.54,113,179,34.8,2.63,53.1,2.99,9.81,7.53,4330
W10X77,22.7,10.6,0.53,0.265,10.2,0.87,1.37,1  9/16,  7/8 ,77,455,85.9,4.49,97.6,154,30.1,2.6,45.9,2.95,9.73,5.11,3630
W10X68,19.9,10.4,0.47,0.235,10.1,0.77,1.27,1  7/16,  7/8 ,68,394,75.7,4.44,85.3,134,26.4,2.59,40.1,2.92,9.63,3.56,3100
W10X60,17.7,10.2,0.42,0.21,10.1,0.68,1.18,1  3/8 , 13/16,60,341,66.7,4.39,74.6,116,23,2.57,35,2.88,9.52,2.48,2640
W10X54,15.8,10.1,0.37,0.185,10,0.615,1.12,1  5/16, 13/16,54,303,60,4.37,66.6,103,20.6,2.56,31.3,2.85,9.49,1.82,2320
W10X49,14.4,10,0.34,0.17,10,0.56,1.06,1  1/4 , 13/16,49,272,54.6,4.35,60.4,93.4,18.7,2.54,28.3,2.84,9.44,1.39,2070
W10X45,13.3,10.1,0.35,0.175,8.02,0.62,1.12,1  5/16, 13/16,45,248,49.1,4.32,54.9,53.4,13.3,2.01,20.3,2.27,9.48,1.51,1200
W10X39,11.5,9.92,0.315,0.1575,7.99,0.53,1.03,1  3/16, 13/16,39,209,42.1,4.27,46.8,45,11.3,1.98,17.2,2.24,9.39,0.976,992
W10X33,9.71,9.73,0.29,0.145,7.96,0.435,0.935,1  1/8 ,  3/4 ,33,171,35,4.19,38.8,36.6,9.2,1.94,14,2.2,9.3,0.583,791
W10X30,8.84,10.5,0.3,0.15,5.81,0.51,0.81,1  1/8 , 11/16,30,170,32.4,4.38,36.6,16.7,5.75,1.37,8.84,1.6,9.99,0.622,414
W10X26,7.61,10.3,0.26,0.13,5.77,0.44,0.74,1  1/16, 11/16,26,144,27.9,4.35,31.3,14.1,4.89,1.36,7.5,1.58,9.86,0.402,345
W10X22,6.49,10.2,0.24,0.12,5.75,0.36,0.66, 15/16,  5/8 ,22,118,23.2,4.27,26,11.4,3.97,1.33,6.1,1.55,9.84,0.239,275
W10X19,5.62,10.2,0.25,0.125,4.02,0.395,0.695, 15/16,  5/8 ,19,96.3,18.8,4.14,21.6,4.29,2.14,0.874,3.35,1.06,9.81,0.233,104
W10X17,4.99,10.1,0.24,0.12,4.01,0.33,0.63,  7/8 ,  9/16,17,81.9,16.2,4.05,18.7,3.56,1.78,0.845,2.8,1.04,9.77,0.156,85.1
W10X15,4.41,9.99,0.23,0.115,4,0.27,0.57, 13/16,  9/16,15,68.9,13.8,3.95,16,2.89,1.45,0.81,2.3,1.01,9.72,0.104,68.3
W10X12,3.54,9.87,0.19,0.095,3.96,0.21,0.51,  3/4 ,  9/16,12,53.8,10.9,3.9,12.6,2.18,1.1,0.785,1.74,0.983,9.66,0.0547,50.9
W8X67,19.7,9,0.57,0.285,8.28,0.935,1.33,1  5/8 , 15/16,67,272,60.4,3.72,70.1,88.6,21.4,2.12,32.7,2.43,8.07,5.05,1440
W8X58,17.1,8.75,0.51,0.255,8.22,0.81,1.2,1  1/2 ,  7/8 ,58,228,52,3.65,59.8,75.1,18.3,2.1,27.9,2.39,7.94,3.33,1180
W8X48,14.1,8.5,0.4,0.2,8.11,0.685,1.08,1  3/8 , 13/16,48,184,43.2,3.61,49,60.9,15,2.08,22.9,2.35,7.82,1.96,931
W8X40,11.7,8.25,0.36,0.18,8.07,0.56,0.954,1  1/4 , 13/16,40,146,35.5,3.53,39.8,49.1,12.2,2.04,18.5,2.31,7.69,1.12,726
W8X35,10.3,8.12,0.31,0.155,8.02,0.495,0.889,1  3/16, 13/16,35,127,31.2,3.51,34.7,42.6,10.6,2.03,16.1,2.28,7.63,0.769,619
W8X31,9.13,8,0.285,0.1425,8,0.435,0.829,1  1/8 ,  3/4 ,31,110,27.5,3.47,30.4,37.1,9.27,2.02,14.1,2.26,7.57,0.536,530
W8X28,8.25,8.06,0.285,0.1425,6.54,0.465,0.859, 15/16,  5/8 ,28,98,24.3,3.45,27.2,21.7,6.63,1.62,10.1,1.84,7.6,0.537,312
W8X24,7.08,7.93,0.245,0.1225,6.5,0.4,0.794,  7/8 ,  9/16,24,82.7,20.9,3.42,23.1,18.3,5.63,1.61,8.57,1.81,7.53,0.346,259
W8X21,6.16,8.28,0.25,0.125,5.27,0.4,0.7,  7/8 ,  9/16,21,75.3,18.2,3.49,20.4,9.77,3.71,1.26,5.69,1.46,7.88,0.282,152
W8X18,5.26,8.14,0.23,0.115,5.25,0.33,0.63, 13/16,  9/16,18,61.9,15.2,3.43,17,7.97,3.04,1.23,4.66,1.43,7.81,0.172,122
W8X15,4.44,8.11,0.245,0.1225,4.02,0.315,0.615, 13/16,  9/16,15,48,11.8,3.29,13.6,3.41,1.7,0.876,2.67,1.06,7.8,0.137,51.8
W8X13,3.84,7.99,0.23,0.115,4,0.255,0.555,  3/4 ,  9/16,13,39.6,9.91,3.21,11.4,2.73,1.37,0.843,2.15,1.03,7.74,0.0871,40.8
W8X10,2.96,7.89,0.17,0.085,3.94,0.205,0.505, 11/16,  1/2 ,10,30.8,7.81,3.22,8.87,2.09,1.06,0.841,1.66,1.01,7.69,0.0426,30.9
W6X25,7.34,6.38,0.32,0.16,6.08,0.455,0.705, 15/16,  9/16,25,53.4,16.7,2.7,18.9,17.1,5.61,1.52,8.56,1.74,5.93,0.461,150
W6X20,5.87,6.2,0.26,0.13,6.02,0.365,0.615,  7/8 ,  9/16,20,41.4,13.4,2.66,14.9,13.3,4.41,1.5,6.72,1.7,5.84,0.24,113
W6X15,4.43,5.99,0.23,0.115,5.99,0.26,0.51,  3/4 ,  9/16,15,29.1,9.72,2.56,10.8,9.32,3.11,1.45,4.75,1.66,5.73,0.101,76.5
W6X16,4.74,6.28,0.26,0.13,4.03,0.405,0.655,  7/8 ,  9/16,16,32.1,10.2,2.6,11.7,4.43,2.2,0.967,3.39,1.13,5.88,0.223,38.2
W6X12,3.55,6.03,0.23,0.115,4,0.28,0.53,  3/4 ,  9/16,12,22.1,7.31,2.49,8.3,2.99,1.5,0.918,2.32,1.08,5.75,0.0903,24.7
W6X9,2.68,5.9,0.17,0.085,3.94,0.215,0.465, 11/16,  1/2 ,9,16.4,5.56,2.47,6.23,2.2,1.11,0.905,1.72,1.06,5.69,0.0405,17.7
W6X8.5,2.52,5.83,0.17,0.085,3.94,0.195,0.445, 11/16,  1/2 ,8.5,14.9,5.1,2.43,5.73,1.99,1.01,0.89,1.56,1.05,5.64,0.0333,15.8
W5X19,5.56,5.15,0.27,0.135,5.03,0.43,0.73, 13/16,  7/16,19,26.3,10.2,2.17,11.6,9.13,3.63,1.28,5.53,1.45,4.72,0.316,50.9
W5X16,4.71,5.01,0.24,0.12,5,0.36,0.66,  3/4 ,  7/16,16,21.4,8.55,2.13,9.63,7.51,3,1.26,4.58,1.43,4.65,0.192,40.6
W4X13,3.83,4.16,0.28,0.14,4.06,0.345,0.595,  3/4 ,  1/2 ,13,11.3,5.46,1.72,6.28,3.86,1.9,1,2.92,1.16,3.82,0.151,14